story_id,title,slug,url,excerpt,published_at,image_url,author_name,category,tags,time_to_read,funding_amount,company_name,scraped_at
335143,[Weekly funding roundup March 14-20] Venture capital into Indian startups sees a sharp rise,weekly-funding-roundup-march-14-20-venture-capital-indian-startups-sharp-rise,https://yourstory.com/2026/03/weekly-funding-roundup-march-14-20-venture-capital-indian-startups-sharp-rise,The $155 million Weaver Services deal helped boost overall VC inflows into Indian startups.,2026-03-20T14:31:16.119Z,https://images.yourstory.com/cs/2/220356402d6d11e9aa979329348d4c3e/WeeklyFundingRoundupNewLogo1-1739546168054.jpg,Thimmaya Poojary,Funding,Weekly Funding Roundup; Ecofy; Atlys; Premji Invest; Lightspeed India,3,$155 million,Ecofy,2026-03-22T20:26:17.886183+00:00
335102,"Housing finance platform Weaver Services raises Rs 1,450 Cr from two funding rounds",housing-finance-platform-weaver-services-raises-rs-1450-cr,https://yourstory.com/2026/03/housing-finance-platform-weaver-services-raises-rs-1450-cr,The funding rounds were led by Premji Invest and Lightspeed Venture Partners.,2026-03-19T12:43:54.568Z,https://images.yourstory.com/cs/2/bc14afb0357911eca2270b39b804102d/AltumCredoFundingFeatureImage1-1713607081268.jpg,Team YS,Funding,Just In; Premji Invest; Lightspeed India; housing finance,2,"Rs 1,450 Cr",Weaver Services,2026-03-22T20:26:17.886183+00:00
335093,Tech startup Aerchain raises $13M in Series A round led by Pavestone VC,tech-startup-aerchain-raises-series-a-round-led-by-pavestone-vc,https://yourstory.com/2026/03/tech-startup-aerchain-raises-series-a-round-led-by-pavestone-vc,"The Bengaluru-headquartered startup, which is focused on the procurement segment,  plans to use the funding for market expansion and to strengthen its AI capabilities.",2026-03-18T12:11:46.102Z,https://images.yourstory.com/cs/2/220356402d6d11e9aa979329348d4c3e/Aerchain-FINAL-1773834643531.png,Thimmaya Poojary,Funding,Just In; Aerchain; Pavestone VC; Procurement,2,$13M,Aerchain,2026-03-22T20:26:17.886183+00:00
335077,Burger Singh raises Rs 82 Cr in Series B funding to scale franchise platform,burger-singh-raises-rs-82-crore-series-b-funding-franchise-platform,https://yourstory.com/2026/03/burger-singh-raises-rs-82-crore-series-b-funding-franchise-platform,"Burger Singh plans to use the fresh capital to build a scalable, franchise-first growth platform by upgrading the company's supply chain, technology, training systems, and operational infrastructure to empower local entrepreneurs.",2026-03-18T08:51:31.118Z,https://images.yourstory.com/cs/2/a09f22505c6411ea9c48a10bad99c62f/Imagemu26-1712140090964.jpg,Akshita Toshniwal,Funding,Just In; burger singh; Burger Singh franchise; Quick Service Restaurant,2,Rs 82 Cr,Burger Singh,2026-03-22T20:26:17.886183+00:00
335076,BlackSoil Capital raises Rs 200 Cr from Danish DFI Impact Fund,blacksoil-capital-raises-rs-200-cr-danish-dfi-impact-fund,https://yourstory.com/2026/03/blacksoil-capital-raises-rs-200-cr-danish-dfi-impact-fund,"The funding is expected to help BlackSoil increase its exposure to renewable energy adoption, climate-smart agriculture, sustainable supply chains, and inclusive finance models.",2026-03-18T08:17:57.526Z,https://images.yourstory.com/cs/2/a09f22505c6411ea9c48a10bad99c62f/Image9qf0-1733034783687.jpg,Sai Keerthi,Funding,Just In; Blacksoil; Debt Funding; Climate Capital,2,Rs 200 Cr,BlackSoil Capital,2026-03-22T20:26:17.886183+00:00
335071,Optimo Capital secures Rs 100 Cr credit from Punjab National Bank,optimo-capital-secures-rs-100-cr-credit-from-punjab-national-bank,https://yourstory.com/2026/03/optimo-capital-secures-rs-100-cr-credit-from-punjab-national-bank,"Optimo Capital is focused on lending to MSMEs  Optimo Capital has also entered into a partnership with Godrej Finance to disburse Rs 200 crore over the next 12 months  Optimo Capital, a technology enabled NBFC focused on MSME lending with specialisation on loan against property has secured Rs 100",2026-03-18T07:30:00.526Z,https://images.yourstory.com/cs/2/f02aced0d86311e98e0865c1f0fe59a2/Lending-1587319043744.png,Team YS,Funding,Just In; PNB;  fintech; MSME credit,2,Rs 100 Cr,Optimo Capital,2026-03-22T20:26:17.886183+00:00
335067,KKR to invest $310M in PMI Electro’s EV bus platform Allfleet,kkr-to-invest-310-million-in-pmi-electros-ev-bus-platform-allfleet,https://yourstory.com/2026/03/kkr-to-invest-310-million-in-pmi-electros-ev-bus-platform-allfleet,"The private equity firm will acquire a majority stake in Allfleet and a minority stake in PMI Electro, marking its first Global Climate Transition investment in India.",2026-03-18T06:12:54.385Z,https://images.yourstory.com/cs/2/f49f80307d7911eaa66f3b309d9a28f5/Imaged08i-1698217491928.jpg,Thimmaya Poojary,Funding,Just In; KKR; PMI Electro Mobility Solutions Pvt. Ltd.; climate investment; Allfleet,2,$310M,PMI Electro,2026-03-22T20:26:17.886183+00:00
335053,Ecofy raises Rs 380 Cr from BII and Finnfund,ecofy-raises-rs-380-crore-led-bii-and-finnfund,https://yourstory.com/2026/03/ecofy-raises-rs-380-crore-led-bii-and-finnfund,Ecofy will use the funding to expand its financing portfolio across solar and electric vehicle segments.,2026-03-17T12:39:51.629Z,https://images.yourstory.com/cs/2/11718bd02d6d11e9aa979329348d4c3e/Imagell05-1722601521901.jpg,Thimmaya Poojary,Funding,Just In; Ecofy; BII; climate finance; Solar,2,Rs 380 Cr,Ecofy,2026-03-22T20:26:17.886183+00:00
335052,Ultrahuman closes Rs 400 Cr Series C round,ultrahuman-closes-rs-400-cr-series-c-round,https://yourstory.com/2026/03/ultrahuman-closes-rs-400-cr-series-c-round,The fresh funding comes after the Bengaluru-based wearable startup got clearance to re-enter the US market with its redesigned smart ring.,2026-03-17T12:18:05.759Z,https://images.yourstory.com/cs/2/11718bd02d6d11e9aa979329348d4c3e/UltrahumanFunding1600x900-1773749818244.jpg,Shivani Verma,Funding,Ultrahuman; Funding; Just In; Wearable Tech,3,Rs 400 Cr,Ultrahuman,2026-03-22T20:26:17.886183+00:00
335043,B2B marketing startup BambooBox raises $6.6M in round led by Peak XV Surge,b2b-marketing-startup-bamboobox-raises-66-million-in-round-led-by-peak-xv,https://yourstory.com/2026/03/b2b-marketing-startup-bamboobox-raises-66-million-in-round-led-by-peak-xv,The Bangalore and San Francisco-based company will use the funds to expand globally and develop artificial intelligence tools for its enterprise account-based marketing platform.,2026-03-17T07:56:30.026Z,https://images.yourstory.com/cs/2/c2cedff02d6111ef9021856619e24ca1/IMG0470-1744635312325.jpeg,Akshita Toshniwal,Funding,Just In; ArtificiaI Intelligence; funding news; Peak XV; Peak XV Partners,2,$6.6M,BambooBox,2026-03-22T20:26:17.886183+00:00
